eventdate,hotelid,nationality,client_nationality,total_requests,total_availability,availability_percentage,orders,gb,conversion_rate_percentage,net_revenue_over_gb_perc,fee_over_gb_perc
"noviembre 24, 2025","290,966",IR,,6,6,1,0,0,0,0,0
"noviembre 8, 2025","330,061",TR,,41,36,0.88,0,0,0,0,0
"noviembre 18, 2025","290,997",SK,,12,6,0.5,0,0,0,0,0
"noviembre 24, 2025","290,564",ZA,,33,24,0.73,0,0,0,0,0
"noviembre 20, 2025","290,966",CA,,"4,739","3,801",0.8,0,0,0,0,0
"noviembre 15, 2025","330,061",BR,,"6,478","5,107",0.79,0,0,0,0,0
"noviembre 6, 2025","330,061",AT,,72,46,0.64,0,0,0,0,0
"noviembre 10, 2025","330,061",SV,,186,163,0.88,0,0,0,0,0
"noviembre 14, 2025","351,212",SE,,100,81,0.81,0,0,0,0,0
"noviembre 1, 2025","351,212",AE,,193,167,0.87,0,0,0,0,0
"noviembre 21, 2025","351,212",SI,,3,2,0.67,0,0,0,0,0
"noviembre 1, 2025","351,212",PY,,2,1,0.5,0,0,0,0,0
"noviembre 25, 2025","290,564",JO,,14,11,0.79,0,0,0,0,0
"noviembre 5, 2025","290,997",VN,,3,3,1,0,0,0,0,0
"noviembre 25, 2025","290,997",UA,,2,0,0,0,0,0,0,0
"noviembre 1, 2025","290,966",ID,,9,6,0.67,0,0,0,0,0
"noviembre 23, 2025","290,564",BA,,6,4,0.67,0,0,0,0,0
"noviembre 11, 2025","351,212",VN,,6,4,0.67,0,0,0,0,0
"noviembre 16, 2025","290,564",CW,,7,7,1,0,0,0,0,0
"noviembre 22, 2025","291,359",AE,,152,126,0.83,0,0,0,0,0
"noviembre 18, 2025","290,564",LT,,49,18,0.37,0,0,0,0,0
"noviembre 22, 2025","291,359",IL,,78,58,0.74,0,0,0,0,0
"noviembre 10, 2025","290,564",CR,,518,321,0.62,0,0,0,0,0
"noviembre 8, 2025","351,212",HU,,1,1,1,0,0,0,0,0
"noviembre 21, 2025","290,997",ES,,"90,324","62,025",0.69,0,0,0,0,0
"noviembre 21, 2025","290,564",NI,,30,22,0.73,0,0,0,0,0
"noviembre 21, 2025","290,997",EE,,51,51,1,0,0,0,0,0
"noviembre 19, 2025","290,997",KG,,1,0,0,0,0,0,0,0
"noviembre 5, 2025","291,359",BG,,57,48,0.84,0,0,0,0,0
"noviembre 16, 2025","291,359",MY,,17,12,0.71,0,0,0,0,0
"noviembre 21, 2025","330,061",NZ,,8,7,0.88,0,0,0,0,0
"noviembre 16, 2025","290,564",GN,,3,2,0.67,0,0,0,0,0
"noviembre 12, 2025","351,212",PH,,33,28,0.85,0,0,0,0,0
"noviembre 20, 2025","291,359",FR,,"1,270","1,029",0.81,0,0,0,0,0
"noviembre 4, 2025","290,564",NO,,39,24,0.62,0,0,0,0,0
"noviembre 21, 2025","351,212",CL,,841,779,0.93,0,0,0,0,0
"noviembre 16, 2025","290,997",VE,,3,3,1,0,0,0,0,0
"noviembre 4, 2025","290,564",HK,,261,116,0.44,0,0,0,0,0
"noviembre 21, 2025","290,966",CR,,631,507,0.8,0,0,0,0,0
"noviembre 2, 2025","351,212",NL,,45,42,0.93,0,0,0,0,0
"noviembre 14, 2025","290,966",CZ,,89,82,0.92,0,0,0,0,0
"noviembre 17, 2025","291,359",LT,,50,6,0.12,0,0,0,0,0
"noviembre 26, 2025","330,061",HN,,263,203,0.77,0,0,0,0,0
"noviembre 16, 2025","291,359",MV,,5,4,0.8,0,0,0,0,0
"noviembre 24, 2025","290,966",LB,,7,0,0,0,0,0,0,0
"noviembre 11, 2025","351,212",BR,,"8,465","6,735",0.8,0,0,0,0,0
"noviembre 24, 2025","351,212",NZ,,14,10,0.71,0,0,0,0,0
"noviembre 13, 2025","290,966",BR,,"2,657","2,166",0.82,0,0,0,0,0
"noviembre 20, 2025","290,966",PT,,508,440,0.87,0,0,0,0,0
"noviembre 11, 2025","330,061",GB,,"2,864","2,579",0.9,0,0,0,0,0
"noviembre 24, 2025","290,997",SV,,601,173,0.29,0,0,0,0,0
"noviembre 17, 2025","351,212",EC,,132,125,0.95,0,0,0,0,0
"noviembre 26, 2025","330,061",IR,,2,2,1,0,0,0,0,0
"noviembre 26, 2025","351,212",LU,,3,3,1,0,0,0,0,0
"noviembre 8, 2025","291,359",GB,,"9,319","6,447",0.69,0,0,0,0,0
"noviembre 19, 2025","290,966",TR,,428,407,0.95,0,0,0,0,0
"noviembre 8, 2025","290,564",IL,,54,44,0.81,0,0,0,0,0
"noviembre 15, 2025","291,359",MD,,1,1,1,0,0,0,0,0
"noviembre 12, 2025","291,359",JO,,11,4,0.36,0,0,0,0,0
"noviembre 22, 2025","290,564",DZ,,3,3,1,0,0,0,0,0
"noviembre 7, 2025","290,966",NL,,401,297,0.74,0,0,0,0,0
"noviembre 26, 2025","291,359",LB,,1,1,1,0,0,0,0,0
"noviembre 9, 2025","290,564",TR,,250,140,0.56,0,0,0,0,0
"noviembre 13, 2025","290,564",DK,,"5,336","2,876",0.54,0,0,0,0,0
"noviembre 26, 2025","290,966",UA,,9,3,0.33,0,0,0,0,0
"noviembre 4, 2025","351,212",KZ,,1,1,1,0,0,0,0,0
"noviembre 15, 2025","330,061",SV,,138,92,0.67,0,0,0,0,0
"noviembre 6, 2025","290,997",EC,,762,465,0.61,0,0,0,0,0
"noviembre 16, 2025","351,212",PT,,404,366,0.91,0,0,0,0,0
"noviembre 20, 2025","330,061",BG,,15,15,1,0,0,0,0,0
"noviembre 11, 2025","290,564",SV,,454,373,0.82,0,0,0,0,0
"noviembre 7, 2025","291,359",HU,,10,7,0.7,0,0,0,0,0
"noviembre 19, 2025","351,212",IQ,,10,5,0.5,0,0,0,0,0
"noviembre 17, 2025","291,359",DZ,,5,4,0.8,0,0,0,0,0
"noviembre 17, 2025","351,212",UA,,2,2,1,0,0,0,0,0
"noviembre 7, 2025","290,997",ES,,"91,694","58,254",0.64,0,0,0,0,0
"noviembre 22, 2025","351,212",PY,,93,81,0.87,0,0,0,0,0
"noviembre 8, 2025","290,966",IT,,517,419,0.81,0,0,0,0,0
"noviembre 13, 2025","291,359",RO,,18,17,0.94,0,0,0,0,0
"noviembre 24, 2025","351,212",PH,,37,37,1,0,0,0,0,0
"noviembre 21, 2025","290,966",CY,,93,92,0.99,0,0,0,0,0
"noviembre 8, 2025","351,212",PL,,285,279,0.98,0,0,0,0,0
"noviembre 7, 2025","330,061",HU,,1,1,1,0,0,0,0,0
"noviembre 19, 2025","291,359",VN,,2,2,1,0,0,0,0,0
"noviembre 13, 2025","290,997",EE,,2,0,0,0,0,0,0,0
"noviembre 3, 2025","290,997",AE,,256,186,0.73,0,0,0,0,0
"noviembre 16, 2025","290,997",IL,,138,54,0.39,0,0,0,0,0
"noviembre 4, 2025","351,212",HN,,278,263,0.95,0,0,0,0,0
"noviembre 26, 2025","291,359",LK,,10,7,0.7,0,0,0,0,0
"noviembre 22, 2025","290,966",GY,,1,1,1,0,0,0,0,0
"noviembre 13, 2025","291,359",UA,,21,17,0.81,0,0,0,0,0
"noviembre 24, 2025","290,997",DO,,27,20,0.74,0,0,0,0,0
"noviembre 3, 2025","290,997",VE,,4,4,1,0,0,0,0,0
"noviembre 14, 2025","291,359",IT,,725,616,0.85,0,0,0,0,0
"noviembre 3, 2025","291,359",ID,,139,104,0.75,0,0,0,0,0
"noviembre 8, 2025","290,966",BE,,46,24,0.52,0,0,0,0,0
